QuestionNumber,Category,MRCPPart,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,WhyA,WhyB,WhyC,WhyD
36,Respiratory,1,"Which pattern on pulmonary function tests is most consistent with neuromuscular weakness (e.g., motor neurone disease)?",Obstructive pattern with air trapping,Reduced FVC with preserved FEV1/FVC ratio and reduced MIP/MEP,Increased DLCO with normal spirometry,Obstructive pattern with bronchodilator reversibility,B,"Neuromuscular weakness (e.g. motor neurone disease) produces a RESTRICTIVE pattern — a reduced FVC with a PRESERVED FEV1/FVC ratio — together with reduced maximal inspiratory and expiratory pressures (MIP/MEP), reflecting weak respiratory muscles. The DLCO corrected for volume is typically normal because the lung parenchyma itself is unaffected.","An obstructive pattern with air trapping is seen in COPD/asthma, not neuromuscular weakness.",,"A raised DLCO with normal spirometry suggests pulmonary haemorrhage/polycythaemia, not muscle weakness.","Reversible obstruction indicates asthma, not a restrictive neuromuscular process."
37,Respiratory,2,"A 60-year-old man presents with recurrent right-sided pleural effusions. Pleural fluid analysis shows: protein 45 g/L, LDH 300 IU/L, glucose 2.1 mmol/L, pH 7.15. What is the most appropriate next step?",Therapeutic thoracentesis and repeat in 2 weeks,Intercostal drain insertion,Intrapleural fibrinolytics,Thoracoscopy and pleurodesis,B,"Pleural fluid with a LOW pH (<7.2), LOW glucose (<2.2) and high LDH indicates a COMPLICATED parapneumonic effusion/empyema, which requires INTERCOSTAL CHEST DRAIN insertion (BTS guidance). If drainage is inadequate, intrapleural fibrinolytics (tPA/DNase) or surgical intervention are considered.","Simple therapeutic aspiration is inadequate for a complicated effusion with a pH <7.2, which needs formal drainage.",,"Intrapleural fibrinolytics are an adjunct when drainage is incomplete, not the initial step.","Thoracoscopy/pleurodesis is a later surgical option if drainage fails, not the immediate management."
38,Respiratory,1,Which condition is most commonly associated with finger clubbing AND bilateral basal fine inspiratory crackles?,COPD,Idiopathic pulmonary fibrosis,Asthma,Bronchiectasis,B,"Finger clubbing WITH bilateral basal fine end-inspiratory ('velcro') crackles is the classic bedside picture of IDIOPATHIC PULMONARY FIBROSIS. Clubbing occurs in up to half of IPF patients, and the fine basal crackles reflect the fibrotic, non-compliant lung bases.","COPD does not typically cause clubbing (and its crackles, if any, differ).",,"Asthma causes wheeze, not clubbing or fine basal crackles.","Bronchiectasis can cause clubbing but produces COARSE crackles and copious sputum, not fine end-inspiratory crackles."
39,Respiratory,1,A 35-year-old non-smoker develops a spontaneous pneumothorax. He is tall and thin. CXR shows a 3cm rim of air at the hilum. He is not breathless. What is the management?,Observation and follow-up CXR,Aspiration with large-bore needle,Aspiration with small-bore catheter,Chest drain insertion,C,"A primary spontaneous pneumothorax that is >2 cm at the hilum (or the patient is breathless) is managed, per BTS guidance, by ASPIRATION — first-line with a small-bore catheter. If aspiration fails to re-expand the lung (still >2 cm or persistent symptoms), a chest drain is inserted.","Observation alone is for SMALL (<2 cm) asymptomatic primary pneumothoraces, not a 3 cm one.",A large-bore needle is not the recommended aspiration device; a small-bore catheter is used.,,"A chest drain is reserved for failed aspiration (or tension/secondary pneumothorax), not first-line here."
40,Respiratory,2,A patient with lung cancer develops hoarseness of voice. CT shows a left hilar mass encasing the aortopulmonary window. Which nerve is affected?,Right recurrent laryngeal nerve,Left recurrent laryngeal nerve,Left phrenic nerve,Vagus nerve trunk,B,"Hoarseness from a LEFT hilar mass at the aortopulmonary window reflects compression of the LEFT RECURRENT LARYNGEAL NERVE, which loops under the aortic arch and has a long intrathoracic course, causing left vocal-cord palsy. Its anatomy explains why intrathoracic disease affects the left nerve far more often than the right.","The RIGHT recurrent laryngeal nerve loops around the right subclavian artery in the neck/thoracic inlet, not the aortopulmonary window.",,"The left phrenic nerve supplies the diaphragm; its palsy causes hemidiaphragm elevation, not hoarseness.",Compression of the main vagal trunk would cause wider deficits; the specific hoarseness here is due to the recurrent laryngeal branch.
41,Respiratory,1,"A patient with known asbestosis develops a unilateral, blood-stained pleural effusion. Pleural biopsy shows malignant spindle cells positive for calretinin. What is the diagnosis?",Metastatic adenocarcinoma,Malignant mesothelioma,Pleural lymphoma,Benign reactive mesothelial hyperplasia,B,"Malignant spindle cells from the pleura that stain positive for CALRETININ, in a patient with asbestos exposure and a blood-stained pleural effusion, indicate MALIGNANT MESOTHELIOMA. Calretinin is a positive mesothelial marker, and the asbestos history and haemorrhagic effusion fit the diagnosis.","Metastatic adenocarcinoma is calretinin-NEGATIVE and stains for epithelial/adeno markers (e.g. TTF-1, CEA).",,"Pleural lymphoma shows lymphoid, not calretinin-positive spindle-cell, morphology.",Benign reactive mesothelial hyperplasia lacks the malignant cytology and invasive behaviour of mesothelioma.
42,Respiratory,1,"A 28-year-old woman presents with episodic wheeze, nasal polyps, and eosinophilia. She takes aspirin, which worsens her symptoms. What is this triad called?",Churg-Strauss syndrome,Samter triad (aspirin-exacerbated respiratory disease),Kartagener syndrome,Allergic bronchopulmonary aspergillosis,B,"Asthma, nasal polyposis and aspirin/NSAID sensitivity together constitute SAMTER'S TRIAD (aspirin-exacerbated respiratory disease). It results from dysregulated arachidonic-acid metabolism with leukotriene overproduction, so COX inhibition by aspirin worsens symptoms. Management includes leukotriene modifiers and, in selected cases, aspirin desensitisation.","Churg–Strauss (eosinophilic granulomatosis with polyangiitis) is a systemic ANCA-associated vasculitis with eosinophilia, not simply the aspirin-triad.",,Kartagener syndrome is primary ciliary dyskinesia with situs inversus and bronchiectasis.,"Allergic bronchopulmonary aspergillosis is an Aspergillus hypersensitivity with high IgE and central bronchiectasis, not the aspirin triad."
43,Respiratory,2,"A patient with severe ARDS has a P/F ratio of 80 mmHg on FiO2 100% and PEEP 14 cmH2O. Despite lung-protective ventilation, oxygenation is worsening. What adjunctive strategy has mortality benefit?",Inhaled nitric oxide,Prone positioning for ≥16 hours/day,High-frequency oscillatory ventilation,Extracorporeal membrane oxygenation,B,"In severe ARDS with refractory hypoxaemia (P/F <150) despite lung-protective ventilation, PRONE POSITIONING for ≥16 hours/day improves ventilation–perfusion matching and reduces ventilator-induced injury, and — importantly — reduces MORTALITY (the PROSEVA trial). It is the evidence-based adjunct to reach for here.",Inhaled nitric oxide improves oxygenation transiently but does NOT reduce mortality.,,High-frequency oscillatory ventilation did not improve (and may worsen) outcomes in ARDS.,ECMO is a rescue option for the most refractory cases but is not the first adjunct with proven mortality benefit at this stage; prone positioning is.
44,Respiratory,1,Obstructive sleep apnoea is diagnosed when the apnoea-hypopnoea index (AHI) is greater than or equal to:,5 events/hour,10 events/hour,15 events/hour,30 events/hour,A,"Obstructive sleep apnoea is diagnosed when the apnoea–hypopnoea index is ≥5 events/hour accompanied by symptoms. Severity grades as mild (5–14), moderate (15–29) and severe (≥30). CPAP is first-line for moderate-to-severe disease.",,"An AHI of 10 falls WITHIN mild OSA (already diagnostic at ≥5), so 10 is not the diagnostic threshold.","An AHI of 15 marks the MODERATE band, above the diagnostic cut-off of 5.","An AHI of 30 defines SEVERE disease, well beyond the diagnostic threshold."
45,Respiratory,2,"A patient with bronchiectasis has repeated sputum cultures growing Pseudomonas aeruginosa. Despite 14 days of oral ciprofloxacin, sputum remains purulent. What is the next step?",Repeat oral ciprofloxacin for 28 days,IV anti-pseudomonal antibiotics,Long-term nebulised colistin,Surgical lobectomy,B,"For Pseudomonas aeruginosa in bronchiectasis that fails to respond to oral ciprofloxacin (persistently purulent sputum), the next step is INTRAVENOUS anti-pseudomonal therapy (e.g. ceftazidime, meropenem or piperacillin–tazobactam, sometimes with an aminoglycoside). After eradication, long-term nebulised anti-pseudomonal antibiotics may be used for suppression.",Simply repeating the same oral ciprofloxacin course that has already failed is unlikely to clear the infection.,,"Long-term nebulised colistin is a SUPPRESSIVE/maintenance strategy, not the treatment for an acute failure to respond.","Surgical lobectomy is a last resort for localised, refractory disease, not the next step here."
46,Respiratory,1,Light's criteria classify a pleural effusion as an exudate if the pleural fluid to serum protein ratio exceeds:,0.3,0.5,0.7,0.9,B,"By LIGHT'S CRITERIA, an effusion is EXUDATIVE if the pleural-fluid-to-serum PROTEIN ratio is >0.5 (or LDH ratio >0.6, or pleural LDH >2/3 of the upper limit of normal serum LDH). Meeting ANY one criterion classifies the fluid as an exudate, which points toward inflammatory/malignant/infective causes.",A ratio of 0.3 is below the exudate threshold and would (in isolation) suggest a transudate.,,"0.7 is above the cut-off but the defined protein-ratio threshold is 0.5, so this overstates it.",0.9 similarly exceeds — but is not — the defined 0.5 protein-ratio threshold.
47,Respiratory,1,A patient develops acute eosinophilic pneumonia after recently starting a new medication. Which of the following drugs is most commonly implicated?,Metformin,Nitrofurantoin,Atenolol,Omeprazole,B,"NITROFURANTOIN is a classic cause of drug-induced eosinophilic pneumonia (acute or chronic), presenting with cough, dyspnoea, infiltrates and eosinophilia after starting the drug; chronic use can also cause pulmonary fibrosis. Recognition and drug withdrawal are key. Other culprits include daptomycin, NSAIDs, sulfasalazine and amiodarone.",Metformin is not a recognised cause of eosinophilic pneumonia.,,Atenolol is not a typical cause of this reaction.,Omeprazole is not a classic cause of drug-induced eosinophilic pneumonia.
